Flow;Steam;pressure;temperature;compo1;compo2;compo3;compo4;compo5;compo6;compo7;compo8;compo9;compo10;compo11
12,030752;0,3901;2,677258017;826,8447;0;0,01199988;97,53102469;1,37598624;0,05299947;0,11499885;0,3899961;0,01499985;0,50799492;0;0
17,15824;0,5129;2,700794351;826,6665;0;0,01199988;97,53102469;1,37598624;0,05299947;0,11499885;0,3899961;0,01499985;0,50799492;0;0
14,18688;0,3744;2,977346278;812,1221;0;0,01199988;97,53102469;1,37598624;0,05299947;0,11499885;0,3899961;0,01499985;0,50799492;0;0
17,336416;0,3871;2,535059331;832,5612;0;0,01199988;97,53102469;1,37598624;0,05299947;0,11499885;0,3899961;0,01499985;0,50799492;0;0
12,177056;0,3976;2,464450329;819,9187;0;0,01199988;97,53102469;1,37598624;0,05299947;0,11499885;0,3899961;0,01499985;0,50799492;0;0
14,443264;0,5022;2,741982936;810,6996;0;0,01199988;97,53102469;1,37598624;0,05299947;0,11499885;0,3899961;0,01499985;0,50799492;0;0
12,744352;0,3774;2,514465039;809,2712;0;0,01199988;97,53102469;1,37598624;0,05299947;0,11499885;0,3899961;0,01499985;0,50799492;0;0
17,371008;0,3973;2,312444837;845,5186;0;0,01199988;97,53102469;1,37598624;0,05299947;0,11499885;0,3899961;0,01499985;0,50799492;0;0
14,373664;0,4581;2,580170638;807,8973;0;0,01199988;97,53102469;1,37598624;0,05299947;0,11499885;0,3899961;0,01499985;0,50799492;0;0
17,109536;0,3845;2,391879965;820,8014;0;0,01199988;97,53102469;1,37598624;0,05299947;0,11499885;0,3899961;0,01499985;0,50799492;0;0
14,439776;0,5375;2,639992155;809,1709;0;0,01199988;97,53102469;1,37598624;0,05299947;0,11499885;0,3899961;0,01499985;0,50799492;0;0
13,768672;0,4955;2,264391488;833,6606;0;0,01199988;97,53102469;1,37598624;0,05299947;0,11499885;0,3899961;0,01499985;0,50799492;0;0
14,107072;0,4328;2,613513779;810,124;0;0,01199988;97,53102469;1,37598624;0,05299947;0,11499885;0,3899961;0,01499985;0,50799492;0;0
17,353792;0,3649;2,196724527;856,109;0;0,01199988;97,53102469;1,37598624;0,05299947;0,11499885;0,3899961;0,01499985;0,50799492;0;0
14,976832;0,3833;2,33401981;828,7327;0;0,01199988;97,53102469;1,37598624;0,05299947;0,11499885;0,3899961;0,01499985;0,50799492;0;0
16,287008;0,3525;2,344807296;820,1754;0;0,01199988;97,53102469;1,37598624;0,05299947;0,11499885;0,3899961;0,01499985;0,50799492;0;0
13,48576;0,3901;2,991075807;795,6239;0;0,01199988;97,53102469;1,37598624;0,05299947;0,11499885;0,3899961;0,01499985;0,50799492;0;0
15,681824;0,3018;2,222222222;845,6326;0;0,01199988;97,53102469;1,37598624;0,05299947;0,11499885;0,3899961;0,01499985;0,50799492;0;0
17,05552;0,4944;2,824360106;819,8177;0;0,01199988;97,53102469;1,37598624;0,05299947;0,11499885;0,3899961;0,01499985;0,50799492;0;0
13,36656;0,4366;2,531136609;803,6145;0;0,01199988;97,53102469;1,37598624;0,05299947;0,11499885;0,3899961;0,01499985;0,50799492;0;0
15,989088;0,4923;2,390899284;838,0103;0;0,01199988;97,53102469;1,37598624;0,05299947;0,11499885;0,3899961;0,01499985;0,50799492;0;0
15,657824;0,495;2,158477984;823,938;0;0,01199988;97,53102469;1,37598624;0,05299947;0,11499885;0,3899961;0,01499985;0,50799492;0;0
13,121376;0,5881;2,291850544;853,3772;0;0,01199988;97,53102469;1,37598624;0,05299947;0,11499885;0,3899961;0,01499985;0,50799492;0;0
14,88272;0,4009;2,933215652;812,4028;0;0,01199988;97,53102469;1,37598624;0,05299947;0,11499885;0,3899961;0,01499985;0,50799492;0;0
15,216704;0,5839;2,355594783;823,3947;0;0,01199988;97,53102469;1,37598624;0,05299947;0,11499885;0,3899961;0,01499985;0,50799492;0;0
