DUTY;ΔP;COKING_RATE;output1;output2;output3;output4;output5;output6;output7;output8;output9;output10;output11;output12;output13;output14;output15;output16;output17;output18;output19;output20;output21;output22;output23;output24;output25;output26;output27;output28;output29;output30;output31;output32;output33;output34;output35;output36;output37;output38;output39;output40;output41;output42;output43;output44;output45;output46;output47
15,34088179;0,741835;3,49261;1,13996;0,1709819;23,0779;0,75707;31,1691;2,98876;1,23456;15,8239;0,403681;3,56192;1,354377;3,40777;2,09373;0,816855;0,0986818;0,820521;0,000412381;0,000137551;0,00360027;0,185897;0,0389642;0,0100928;0,125332;0,000107626;0,355556;0,228232;5,03029;0,052991;0;0,461708632;0;0;0;1,61555;0,039506;0;0;0;0,106808039;0;0;0;0,278324;0,5501494;0,007742738;0,2936666;1,695127525
13,94044371;0,552029;3,69864;1,14985;0,1690195;24,6392;0,728787;31,1807;3,1;1,11792;14,1663;0,372845;3,43913;1,135807;2,80623;1,3271;0,494061;0,106918;0,772231;0,000505751;0,000068742;0,00173575;0,192096;0,0391166;0,00985259;0,0971375;7,16979E-05;0,325251;0,201205;5,99784;0,0628948;0;0,405658722;0;0;0;1,92743;0,0425586;0;0;0;0,09696953;0;0;0;0,325945;0,7575348;0,00749956;0,3931096;2,40938712
10,5833;0,345774;;0,762527;0,05196251;19,2269;0,195001;31,1519;5,0139;0,309165;20,4452;0,564719;2,59831;1,985007;0,408743;11,0161;0,122267;0,0193215;0,829843;0,000718153;0;0,00885697;0,357471;0,108103;0,0288708;0,0521551;0,000421614;0,301152;0,0569355;2,265;0,086547;0;0,33101422;0;0;0;0,678823;0,0694695;0;0;0;0,085640271;0;0;0;0,0811556;0,1877868;0,012696966;0,1065603;0,479737073
13,1167792;0,471819;3,52404;1,05742;0,1107642;22,178;0,555417;38,7546;4,13772;0,51223;14,7195;0,407438;3,59861;1,30869;0,276084;3,4132;0,0398896;0,0834952;0,813953;0,00064847;0;0,00129306;0,269984;0,0567437;0,014875;0,0300887;5,73687E-05;0,339252;0,055791;3,81714;0,0823928;0;0,191183586;0;0;0;1,01303;0,0429252;0;0;0;0,057307316;0;0;0;0,106077;0,4853707;0,0054647;0,19470691;1,268660864
13,00330762;0,469918;;0,753182;0,05478666;19,0769;0,194716;30,8422;5,11085;0,305653;20,5938;0,579565;2,58057;2,008066;0,410354;11,322;0,126568;0,0186712;0,822992;0,000723184;0;0,00928514;0,363777;0,112976;0,0296645;0,0537164;0,000450802;0,300954;0,0563271;2,19603;0,0874962;0;0,337307297;0;0;0;0,660203;0,0709688;0;0;0;0,087907129;0;0;0;0,0786988;0,1791135;0,013054318;0,1025983;0,457874867
11,31593418;0,343638;3,26589;1,06942;0,1189012;23,3454;0,545048;38,5369;4,24142;0,485217;13,4432;0,388266;3,53029;1,128027;0,255936;2,37336;0,0293964;0,0910315;0,788346;0,000746602;0;0,000722272;0,270307;0,0544873;0,0141106;0,0263044;4,37767E-05;0,313608;0,0566512;4,54712;0,0925529;0;0,176854272;0;0;0;1,20263;0,0451146;0;0;0;0,060255562;0;0;0;0,127922;0,6444969;0,005406872;0,255057;1,735397078
9,576644416;0,308265;;0,771896;0,05992692;19,2926;0,200377;31,3919;4,93049;0,311708;20,3341;0,55507;2,6079;1,969231;0,406303;10,8606;0,119919;0,0199532;0,831814;0,000717848;0;0,0086356;0,354696;0,105834;0,0284163;0,0512534;0,000405863;0,300251;0,0570082;2,29443;0,0865707;0;0,326991552;0;0;0;0,685087;0,0688322;0;0;0;0,084807483;0;0;0;0,0820429;0,1913642;0,012489035;0,1078694;0,488499159
10,78802522;0,362333;2,87367;1,07836;0,1389714;22,6144;0,57692;39,0722;4,05705;0,507729;14,0634;0,388659;3,58404;1,216781;0,263755;2,92949;0,0343368;0,0903586;0,799195;0,000665623;0;0,000999169;0,263436;0,0535967;0,0141275;0,0276515;4,82176E-05;0,325291;0,0555318;4,09538;0,0845467;0;0,180773499;0;0;0;1,07724;0,0422148;0;0;0;0,0564938;0;0;0;0,113182;0,5432282;0,005165908;0,21392688;1,430946885
13,11313203;0,551186;;0,941957;0,1023867;20,0957;0,396049;36,0392;4,26624;0,441301;17,9353;0,474409;3,19768;1,750903;0,340898;7,32243;0,0808042;0,0457491;0,836861;0,000595591;0;0,00448971;0,300785;0,0756326;0,0199579;0,0422524;0,000164578;0,337499;0,054833;2,62413;0,0752186;0;0,248041057;0;0;0;0,722445;0,0483232;0;0;0;0,064271508;0;0;0;0,0791026;0,2586948;0,007347865;0,11782415;0,650470957
12,83449584;0,533462;;0,804428;0,0860562;18,9777;0,244718;32,1109;4,70828;0,335944;20,1484;0,543397;2,69055;1,990219;0,393394;11,0531;0,121496;0,0231383;0,814317;0,000652754;0;0,00880882;0,343531;0,102427;0,0267724;0,0516994;0,000375159;0,305127;0,0542615;2,11812;0,0810557;0;0,311524119;0;0;0;0,617794;0,0623437;0;0;0;0,079626588;0;0;0;0,0721273;0,1748038;0,010933724;0,09362261;0,438305417
13,80449366;0,648388;2,88245;1,02738;0,121768;20,1336;0,534502;38,2046;3,89637;0,517292;16,8868;0,433627;3,45718;1,660307;0,310105;6,25612;0,0678641;0,0645521;0,809912;0,000485342;0;0,00338522;0,263017;0,0614186;0,0163006;0,0379031;0,000106211;0,353121;0,0516106;2,63049;0,0643169;0;0,213687973;0;0;0;0,696485;0,0376415;0;0;0;0,051945603;0;0;0;0,0715692;0,2732572;0,005284203;0,11063779;0,675457433
13,61852531;0,628121;;0,987871;0,10175972;19,7424;0,46808;37,2124;3,97236;0,488406;17,6338;0,450541;3,32898;1,763147;0,326901;7,31264;0,0790583;0,0539198;0,810986;0,000484381;0;0,00437835;0,271448;0,0662823;0,017616;0,0410543;0,000137627;0,348945;0,0517297;2,4272;0,0635704;0;0,227774418;0;0;0;0,650785;0,0392706;0;0;0;0,053984316;0;0;0;0,0680291;0,2398397;0,005766172;0,10053532;0,587936149
13,03215002;0,481369;;0,895987;0,06507656;20,1715;0,329563;34,9709;4,53396;0,411246;18,3798;0,497479;3,10399;1,784959;0,356111;7,62812;0,0853479;0,0385421;0,849806;0,00064615;0;0,00486394;0,315875;0,0817475;0,0216665;0,0440035;0,000193741;0,335488;0,056827;2,67284;0,0792438;0;0,264544914;0;0;0;0,752764;0,0532876;0;0;0;0,069231765;0;0;0;0,0843263;0,2617072;0,008443147;0,12539933;0,664570524
12,36680237;0,516874;2,53328;1,01339;0,1363268;20,8378;0,499347;37,8268;4,07549;0,488341;16,5217;0,437053;3,41362;1,564615;0,309543;5,49225;0,060882;0,0634937;0,831267;0,000590797;0;0,00279012;0,281414;0,0648361;0,0171594;0,0363837;0,000102093;0,341455;0,0545922;3,0247;0,0757976;0;0,218554136;0;0;0;0,811604;0,0439796;0;0;0;0,059147051;0;0;0;0,0864526;0,3283468;0,006136887;0,13933056;0,834711955
8,716992032;0,237972;;0,721644;0,05750172;19,8396;0,15693;30,059;5,50498;0,273091;20,5462;0,603249;2,46377;1,925627;0,423584;10,3402;0,117627;0,0159322;0,848873;0,000893926;0;0,00820548;0,390163;0,121944;0,0326792;0,0524653;0,000495298;0,29099;0,061128;2,61641;0,103371;0;0,362727274;0;0;0;0,812523;0,0865192;0;0;0;0,101979861;0;0;0;0,10067;0,2198606;0,016560461;0,1364849;0,586173946
12,43673123;0,45476;2,88458;1,04723;0,1643233;22,474;0,538843;38,2586;4,25269;0,482507;14,6308;0,414867;3,47755;1,280704;0,277535;3,32626;0,0394754;0,0798163;0,819714;0,000735638;0;0,00125944;0,285409;0,0611108;0,015816;0,0301772;0,000063301;0,322909;0,0567687;4,00061;0,0914629;0;0,196809869;0;0;0;1,06717;0,0478282;0;0;0;0,064212303;0;0;0;0,114467;0,5081377;0,006102247;0,2115728;1,352439775
13,29783504;0,493683;2,73805;0,936412;0,08583073;20,8363;0,378627;35,9858;4,49555;0,433507;17,4156;0,479403;3,23631;1,650059;0,336395;6,18649;0,0703373;0,0474547;0,855627;0,000687045;0;0,00348352;0,312095;0,0767106;0,0201795;0,0402441;0,000145528;0,338037;0,057751;3,031;0,0840178;0;0,247730517;0;0;0;0,843237;0,0529789;0;0;0;0,069057713;0;0;0;0,0936292;0,3194397;0,007967127;0,14833248;0,823638214
